L.P.;Nazwa;Materiał;Średnica d1;Średnica d2;Średnica d3;Połączenie;
1.;Kolano (90st);PVC;d12;;; Klejone;
2.;Kolano (90st);PVC;d16;;; Klejone;
3.;Kolano (90st);PVC;d20;;; Klejone;
4.;Kolano (90st);PVC;d25;;; Klejone;
5.;Kolano (90st);PVC;d32;;; Klejone;
6.;Kolano (90st);PVC;d40;;; Klejone;
7.;Kolano (90st);PVC;d50;;; Klejone;
8.;Kolano (90st);PVC;d63;;; Klejone;
9.;Kolano (90st);PVC;d75;;; Klejone;
10.;Kolano (90st);PVC;d90;;; Klejone;
11.;Kolano (90st);PVC;d110;;; Klejone;
12.;Kolano (45st);PVC;d12;;; Klejone;
13.;Kolano (45st);PVC;d16;;; Klejone;
14.;Kolano (45st);PVC;d20;;; Klejone;
15.;Kolano (45st);PVC;d25;;; Klejone;
16.;Kolano (45st);PVC;d32;;; Klejone;
17.;Kolano (45st);PVC;d40;;; Klejone;
18.;Kolano (45st);PVC;d50;;; Klejone;
19.;Kolano (45st);PVC;d63;;; Klejone;
20.;Kolano (45st);PVC;d75;;; Klejone;
21.;Kolano (45st);PVC;d90;;; Klejone;
22.;Kolano (45st);PVC;d110;;; Klejone;
23.;Trójnik;PVC;d12;;; Klejone;
24.;Trójnik;PVC;d16;;; Klejone;
25.;Trójnik;PVC;d20;;; Klejone;
26.;Trójnik;PVC;d25;;; Klejone;
27.;Trójnik;PVC;d32;;; Klejone;
28.;Trójnik;PVC;d40;;; Klejone;
29.;Trójnik;PVC;d50;;; Klejone;
30.;Trójnik;PVC;d63;;; Klejone;
31.;Trójnik;PVC;d75;;; Klejone;
32.;Trójnik;PVC;d90;;; Klejone;
33.;Trójnik;PVC;d110;;; Klejone;
34.;Czwórnik;PVC;d12;;; Klejone;
35.;Czwórnik;PVC;d16;;; Klejone;
36.;Czwórnik;PVC;d20;;; Klejone;
37.;Czwórnik;PVC;d25;;; Klejone;
38.;Czwórnik;PVC;d32;;; Klejone;
39.;Czwórnik;PVC;d40;;; Klejone;
40.;Czwórnik;PVC;d50;;; Klejone;
41.;Czwórnik;PVC;d63;;; Klejone;
42.;Czwórnik;PVC;d75;;; Klejone;
43.;Czwórnik;PVC;d90;;; Klejone;
44.;Czwórnik;PVC;d110;;; Klejone;
45.;Dwuzłączka;PVC;d12;;; Klejone;
46.;Dwuzłączka;PVC;d16;;; Klejone;
47.;Dwuzłączka;PVC;d20;;; Klejone;
48.;Dwuzłączka;PVC;d25;;; Klejone;
49.;Dwuzłączka;PVC;d32;;; Klejone;
50.;Dwuzłączka;PVC;d40;;; Klejone;
51.;Dwuzłączka;PVC;d50;;; Klejone;
52.;Dwuzłączka;PVC;d63;;; Klejone;
53.;Dwuzłączka;PVC;d75;;; Klejone;
54.;Dwuzłączka;PVC;d90;;; Klejone;
55.;Dwuzłączka;PVC;d110;;; Klejone;
56.;Mufa;PVC;d12;;; Klejone;
57.;Mufa;PVC;d16;;; Klejone;
58.;Mufa;PVC;d20;;; Klejone;
59.;Mufa;PVC;d25;;; Klejone;
60.;Mufa;PVC;d32;;; Klejone;
61.;Mufa;PVC;d40;;; Klejone;
62.;Mufa;PVC;d50;;; Klejone;
63.;Mufa;PVC;d63;;; Klejone;
64.;Mufa;PVC;d75;;; Klejone;
65.;Mufa;PVC;d90;;; Klejone;
66.;Mufa;PVC;d110;;; Klejone;
67.;Korek;PVC;d12;;; Klejone;
68.;Korek;PVC;d16;;; Klejone;
69.;Korek;PVC;d20;;; Klejone;
70.;Korek;PVC;d25;;; Klejone;
71.;Korek;PVC;d32;;; Klejone;
72.;Korek;PVC;d40;;; Klejone;
73.;Korek;PVC;d50;;; Klejone;
74.;Korek;PVC;d63;;; Klejone;
75.;Korek;PVC;d75;;; Klejone;
76.;Korek;PVC;d90;;; Klejone;
77.;Korek;PVC;d110;;; Klejone;
78.;Tuleja kołnierzowa;PVC;d12;;; Klejone;
79.;Tuleja kołnierzowa;PVC;d16;;; Klejone;
80.;Tuleja kołnierzowa;PVC;d20;;; Klejone;
81.;Tuleja kołnierzowa;PVC;d25;;; Klejone;
82.;Tuleja kołnierzowa;PVC;d32;;; Klejone;
83.;Tuleja kołnierzowa;PVC;d40;;; Klejone;
84.;Tuleja kołnierzowa;PVC;d50;;; Klejone;
85.;Tuleja kołnierzowa;PVC;d63;;; Klejone;
86.;Tuleja kołnierzowa;PVC;d75;;; Klejone;
87.;Tuleja kołnierzowa;PVC;d90;;; Klejone;
88.;Tuleja kołnierzowa;PVC;d110;;; Klejone;
89.;Kołnierz;PVC;d12;;; Klejone;
90.;Kołnierz;PVC;d16;;; Klejone;
91.;Kołnierz;PVC;d20;;; Klejone;
92.;Kołnierz;PVC;d25;;; Klejone;
93.;Kołnierz;PVC;d32;;; Klejone;
94.;Kołnierz;PVC;d40;;; Klejone;
95.;Kołnierz;PVC;d50;;; Klejone;
96.;Kołnierz;PVC;d63;;; Klejone;
97.;Kołnierz;PVC;d75;;; Klejone;
98.;Kołnierz;PVC;d90;;; Klejone;
99.;Kołnierz;PVC;d110;;; Klejone;
100.;Złączka węża;PVC;d12;d12;; Klejone;
101.;Złączka węża;PVC;d16;d16;; Klejone;
102.;Złączka węża;PVC;d20;d20;; Klejone;
103.;Złączka węża;PVC;d25;d25;; Klejone;
104.;Złączka węża;PVC;d32;d32;; Klejone;
105.;Złączka węża;PVC;d40;d40;; Klejone;
106.;Złączka węża;PVC;d50;d50;; Klejone;
107.;Złączka węża;PVC;d63;d63;; Klejone;
108.;Redukcja krótka;PVC;d16;d12;; Klejone;
109.;Redukcja krótka;PVC;d20;d10;; Klejone;
110.;Redukcja krótka;PVC;d20;d12;; Klejone;
111.;Redukcja krótka;PVC;d20;d16;; Klejone;
112.;Redukcja krótka;PVC;d25;d12;; Klejone;
113.;Redukcja krótka;PVC;d25;d16;; Klejone;
114.;Redukcja krótka;PVC;d25;d20;; Klejone;
115.;Redukcja krótka;PVC;d32;d16;; Klejone;
116.;Redukcja krótka;PVC;d32;d20;; Klejone;
117.;Redukcja krótka;PVC;d32;d25;; Klejone;
118.;Redukcja krótka;PVC;d40;d16;; Klejone;
119.;Redukcja krótka;PVC;d40;d20;; Klejone;
120.;Redukcja krótka;PVC;d40;d25;; Klejone;
121.;Redukcja krótka;PVC;d40;d32;; Klejone;
122.;Redukcja krótka;PVC;d50;d20;; Klejone;
123.;Redukcja krótka;PVC;d50;d25;; Klejone;
124.;Redukcja krótka;PVC;d50;d32;; Klejone;
125.;Redukcja krótka;PVC;d50;d40;; Klejone;
126.;Redukcja krótka;PVC;d63;d32;; Klejone;
127.;Redukcja krótka;PVC;d63;d40;; Klejone;
128.;Redukcja krótka;PVC;d63;d50;; Klejone;
129.;Redukcja krótka;PVC;d75;d32;; Klejone;
130.;Redukcja krótka;PVC;d75;d40;; Klejone;
131.;Redukcja krótka;PVC;d75;d50;; Klejone;
132.;Redukcja krótka;PVC;d75;d63;; Klejone;
133.;Redukcja krótka;PVC;d90;d50;; Klejone;
134.;Redukcja krótka;PVC;d90;d63;; Klejone;
135.;Redukcja krótka;PVC;d90;d75;; Klejone;
136.;Redukcja krótka;PVC;d110;d50;; Klejone;
137.;Redukcja krótka;PVC;d110;d63;; Klejone;
138.;Redukcja krótka;PVC;d110;d75;; Klejone;
139.;Redukcja krótka;PVC;d110;d90;; Klejone;
140.;Redukcja krótka;PVC;d125;d75;; Klejone;
141.;Redukcja krótka;PVC;d125;d90;; Klejone;
142.;Redukcja krótka;PVC;d125;d110;; Klejone;
143.;Redukcja krótka;PVC;d140;d75;; Klejone;
144.;Redukcja krótka;PVC;d140;d90;; Klejone;
145.;Redukcja krótka;PVC;d140;d110;; Klejone;
146.;Redukcja krótka;PVC;d140;d125;; Klejone;
147.;Redukcja krótka;PVC;d160;d90;; Klejone;
148.;Redukcja krótka;PVC;d160;d110;; Klejone;
149.;Redukcja krótka;PVC;d160;d125;; Klejone;
150.;Redukcja krótka;PVC;d160;d140;; Klejone;
151.;Redukcja krótka;PVC;d200;d110;; Klejone;
152.;Redukcja krótka;PVC;d200;d125;; Klejone;
153.;Redukcja krótka;PVC;d200;d140;; Klejone;
154.;Redukcja krótka;PVC;d200;d160;; Klejone;
155.;Redukcja długa;PVC;d12;d16;d8; Klejone;
156.;Redukcja długa;PVC;d20;d25;d16; Klejone;
157.;Redukcja długa;PVC;d20;d25;d20; Klejone;
158.;Redukcja długa;PVC;d25;d32;d16; Klejone;
159.;Redukcja długa;PVC;d25;d32;d20; Klejone;
160.;Redukcja długa;PVC;d25;d32;d25; Klejone;
161.;Redukcja długa;PVC;d32;d40;d16; Klejone;
162.;Redukcja długa;PVC;d32;d40;d20; Klejone;
163.;Redukcja długa;PVC;d32;d40;d25; Klejone;
164.;Redukcja długa;PVC;d32;d40;d32; Klejone;
165.;Redukcja długa;PVC;d40;d50;d20; Klejone;
166.;Redukcja długa;PVC;d40;d50;d25; Klejone;
167.;Redukcja długa;PVC;d40;d50;d32; Klejone;
168.;Redukcja długa;PVC;d40;d50;d40; Klejone;
169.;Redukcja długa;PVC;d50;d63;d32; Klejone;
170.;Redukcja długa;PVC;d50;d63;d40; Klejone;
171.;Redukcja długa;PVC;d50;d63;d50; Klejone;
172.;Redukcja długa;PVC;d50;d63;d63; Klejone;
173.;Redukcja długa;PVC;d63;d75;d32; Klejone;
174.;Redukcja długa;PVC;d63;d75;d40; Klejone;
175.;Redukcja długa;PVC;d63;d75;d50; Klejone;
176.;Redukcja długa;PVC;d63;d75;d63; Klejone;
177.;Redukcja długa;PVC;d75;d90;d40; Klejone;
178.;Redukcja długa;PVC;d75;d90;d50; Klejone;
179.;Redukcja długa;PVC;d75;d90;d63; Klejone;
180.;Redukcja długa;PVC;d75;d90;d75; Klejone;
181.;Redukcja długa;PVC;d90;d110;d50; Klejone;
182.;Redukcja długa;PVC;d90;d110;d63; Klejone;
183.;Redukcja długa;PVC;d90;d110;d75; Klejone;
184.;Redukcja długa;PVC;d90;d110;d90; Klejone;
185.;Redukcja długa;PVC;d110;d125;d63; Klejone;
186.;Redukcja długa;PVC;d110;d125;d75; Klejone;
187.;Redukcja długa;PVC;d110;d125;d90; Klejone;
188.;Redukcja długa;PVC;d110;d125;d110; Klejone;
189.;Rura;PVC;d16;;; Klejone;
190.;Rura;PVC;d20;;; Klejone;
191.;Rura;PVC;d25;;; Klejone;
192.;Rura;PVC;d32;;; Klejone;
193.;Rura;PVC;d40;;; Klejone;
194.;Rura;PVC;d50;;; Klejone;
195.;Rura;PVC;d63;;; Klejone;
196.;Rura;PVC;d75;;; Klejone;
197.;Rura;PVC;d90;;; Klejone;
198.;Rura;PVC;d110;;; Klejone;
199.;Rura;PVC;d125;;; Klejone;
200.;Rura;PVC;d140;;; Klejone;
201.;Rura;PVC;d160;;; Klejone;
202.;Rura;PVC;d200;;; Klejone;
203.;Uchwyt;metal/guma;d16;;;;
204.;Uchwyt;metal/guma;d20;;;;
205.;Uchwyt;metal/guma;d25;;;;
206.;Uchwyt;metal/guma;d32;;;;
207.;Uchwyt;metal/guma;d40;;;;
208.;Uchwyt;metal/guma;d50;;;;
209.;Uchwyt;metal/guma;d63;;;;
210.;Uchwyt;metal/guma;d75;;;;
211.;Uchwyt;metal/guma;d90;;;;
212.;Uchwyt;metal/guma;d110;;;;
213.;Uchwyt;metal/guma;d125;;;;
214.;Uchwyt;metal/guma;d140;;;;
215.;Uchwyt;metal/guma;d160;;;;
216.;Uchwyt;metal/guma;d200;;;;
217.;Uchwyt;plastik;d16;;;;
218.;Uchwyt;plastik;d20;;;;
219.;Uchwyt;plastik;d25;;;;
220.;Uchwyt;plastik;d32;;;;
221.;Uchwyt;plastik;d40;;;;
222.;Uchwyt;plastik;d50;;;;
223.;Uchwyt;plastik;d63;;;;
224.;Uchwyt;plastik;d75;;;;
225.;Uchwyt;plastik;d90;;;;
226.;Uchwyt;plastik;d110;;;;
227.;Uchwyt;plastik;d125;;;;
228.;Uchwyt;plastik;d140;;;;
229.;Uchwyt;plastik;d160;;;;
230.;Uchwyt;plastik;d200;;;;
231.;Kolano (90st);PP;d12;;;Zgrzewanie doczołowe;
232.;Kolano (90st);PP;d16;;;Zgrzewanie doczołowe;
233.;Kolano (90st);PP;d20;;;Zgrzewanie doczołowe;
234.;Kolano (90st);PP;d25;;;Zgrzewanie doczołowe;
235.;Kolano (90st);PP;d32;;;Zgrzewanie doczołowe;
236.;Kolano (90st);PP;d40;;;Zgrzewanie doczołowe;
237.;Kolano (90st);PP;d50;;;Zgrzewanie doczołowe;
238.;Kolano (90st);PP;d63;;;Zgrzewanie doczołowe;
239.;Kolano (90st);PP;d75;;;Zgrzewanie doczołowe;
240.;Kolano (90st);PP;d90;;;Zgrzewanie doczołowe;
241.;Kolano (90st);PP;d110;;;Zgrzewanie doczołowe;
242.;Kolano (45st);PP;d12;;;Zgrzewanie doczołowe;
243.;Kolano (45st);PP;d16;;;Zgrzewanie doczołowe;
244.;Kolano (45st);PP;d20;;;Zgrzewanie doczołowe;
245.;Kolano (45st);PP;d25;;;Zgrzewanie doczołowe;
246.;Kolano (45st);PP;d32;;;Zgrzewanie doczołowe;
247.;Kolano (45st);PP;d40;;;Zgrzewanie doczołowe;
248.;Kolano (45st);PP;d50;;;Zgrzewanie doczołowe;
249.;Kolano (45st);PP;d63;;;Zgrzewanie doczołowe;
250.;Kolano (45st);PP;d75;;;Zgrzewanie doczołowe;
251.;Kolano (45st);PP;d90;;;Zgrzewanie doczołowe;
252.;Kolano (45st);PP;d110;;;Zgrzewanie doczołowe;
253.;Trójnik;PP;d12;;;Zgrzewanie doczołowe;
254.;Trójnik;PP;d16;;;Zgrzewanie doczołowe;
255.;Trójnik;PP;d20;;;Zgrzewanie doczołowe;
256.;Trójnik;PP;d25;;;Zgrzewanie doczołowe;
257.;Trójnik;PP;d32;;;Zgrzewanie doczołowe;
258.;Trójnik;PP;d40;;;Zgrzewanie doczołowe;
259.;Trójnik;PP;d50;;;Zgrzewanie doczołowe;
260.;Trójnik;PP;d63;;;Zgrzewanie doczołowe;
261.;Trójnik;PP;d75;;;Zgrzewanie doczołowe;
262.;Trójnik;PP;d90;;;Zgrzewanie doczołowe;
263.;Trójnik;PP;d110;;;Zgrzewanie doczołowe;
264.;Czwórnik;PP;d12;;;Zgrzewanie doczołowe;
265.;Czwórnik;PP;d16;;;Zgrzewanie doczołowe;
266.;Czwórnik;PP;d20;;;Zgrzewanie doczołowe;
267.;Czwórnik;PP;d25;;;Zgrzewanie doczołowe;
268.;Czwórnik;PP;d32;;;Zgrzewanie doczołowe;
269.;Czwórnik;PP;d40;;;Zgrzewanie doczołowe;
270.;Czwórnik;PP;d50;;;Zgrzewanie doczołowe;
